Developer_Copied,SUM_of_Global_Sales_Actual_Units,COUNTA_of_Name,AVERAGE_of_Global_Sales_Actual_Units
Good Science Studio,"21,810,000",1,"21,810,000"
Nintendo,"280,890,000",20,"14,044,500"
"Infinity Ward, Sledgehammer Games","28,050,000",2,"14,025,000"
Game Arts,"12,840,000",1,"12,840,000"
Rockstar North,"76,910,000",6,"12,818,333"
"Retro Studios, Entertainment Analysis & Development Division","12,660,000",1,"12,660,000"
Treyarch,"67,470,000",6,"11,245,000"
Activision,"22,020,000",2,"11,010,000"
Polyphony Digital,"10,700,000",1,"10,700,000"
Infinity Ward,"59,670,000",6,"9,945,000"
Bungie,"9,860,000",1,"9,860,000"
343 Industries,"9,710,000",1,"9,710,000"
Microsoft Game Studios,"9,180,000",1,"9,180,000"
Hudson Soft,"8,910,000",1,"8,910,000"
Nd Cube,"8,380,000",1,"8,380,000"
Hudson,"8,270,000",1,"8,270,000"
"Bungie Software, Bungie","24,100,000",3,"8,033,333"
The Sims Studio,"8,010,000",1,"8,010,000"
Game Freak,"7,720,000",1,"7,720,000"
Ubisoft,"38,060,000",5,"7,612,000"
"EA Sports, EA Vancouver","7,590,000",1,"7,590,000"
Nintendo EAD Tokyo,"7,510,000",1,"7,510,000"
Bethesda Game Studios,"22,360,000",3,"7,453,333"
EA DICE,"14,490,000",2,"7,245,000"
Ubisoft Paris,"7,200,000",1,"7,200,000"
Electronic Arts,"27,950,000",4,"6,987,500"
"Pipeworks Software, Inc.","6,710,000",1,"6,710,000"
EA Sports,"19,720,000",3,"6,573,333"
Sega,"13,080,000",2,"6,540,000"
Epic Games,"12,960,000",2,"6,480,000"
EA Canada,"6,470,000",1,"6,470,000"
Sledgehammer Games,"12,930,000",2,"6,465,000"
Retro Studios,"6,440,000",1,"6,440,000"
Rockstar San Diego,"12,810,000",2,"6,405,000"
Rare Ltd.,"6,190,000",1,"6,190,000"
Naughty Dog,"24,650,000",4,"6,162,500"
Kojima Productions,"5,990,000",1,"5,990,000"
"SCE/WWS, Media Molecule","5,820,000",1,"5,820,000"
Traveller's Tales,"5,640,000",1,"5,640,000"
Turn 10,"5,490,000",1,"5,490,000"
Level 5,"10,970,000",2,"5,485,000"
Rocksteady Studios,"5,480,000",1,"5,480,000"
Ubisoft Montreal,"16,350,000",3,"5,450,000"
Square Enix,"5,330,000",1,"5,330,000"
Capcom,"10,570,000",2,"5,285,000"
Sony Computer Entertainment,"5,260,000",1,"5,260,000"
EA Tiburon,"5,230,000",1,"5,230,000"
Blizzard Entertainment,"5,140,000",1,"5,140,000"
Lionhead Studios,"5,100,000",1,"5,100,000"
